evidence_id	value	unit	evidence_class	source_path	source_locator	derivation	claim_limit
cohort.E-MTAB-10801.primary_patients_within_study	12	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute primary_patients_within_study	Input/cohort accounting only
cohort.E-MTAB-10801.stroma_reference	17	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute stroma_reference	Input/cohort accounting only
cohort.E-MTAB-10801.cell_line_control	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute cell_line_control	Input/cohort accounting only
cohort.E-MTAB-10801.tumour_non_hgsoc_or_ambiguous	6	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute tumour_non_hgsoc_or_ambiguous	Input/cohort accounting only
cohort.E-MTAB-10801.tumour_not_in_tighe_screen	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute tumour_not_in_tighe_screen	Input/cohort accounting only
cohort.E-MTAB-10801.tumour_nonrepresentative_duplicate	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute tumour_nonrepresentative_duplicate	Input/cohort accounting only
cohort.E-MTAB-10801.fastq_objects	72	files	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute fastq_objects	Input/cohort accounting only
cohort.E-MTAB-10801.fastq_bytes	172318782780	bytes	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-10801	group by study and compute fastq_bytes	Input/cohort accounting only
cohort.E-MTAB-11000.all_runs	12	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute all_runs	Input/cohort accounting only
cohort.E-MTAB-11000.primary_hgsoc_tumour	11	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute primary_hgsoc_tumour	Input/cohort accounting only
cohort.E-MTAB-11000.primary_patients_within_study	11	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute primary_patients_within_study	Input/cohort accounting only
cohort.E-MTAB-11000.stroma_reference	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute stroma_reference	Input/cohort accounting only
cohort.E-MTAB-11000.cell_line_control	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute cell_line_control	Input/cohort accounting only
cohort.E-MTAB-11000.tumour_non_hgsoc_or_ambiguous	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute tumour_non_hgsoc_or_ambiguous	Input/cohort accounting only
cohort.E-MTAB-11000.tumour_not_in_tighe_screen	1	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute tumour_not_in_tighe_screen	Input/cohort accounting only
cohort.E-MTAB-11000.tumour_nonrepresentative_duplicate	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute tumour_nonrepresentative_duplicate	Input/cohort accounting only
cohort.E-MTAB-11000.fastq_objects	24	files	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute fastq_objects	Input/cohort accounting only
cohort.E-MTAB-11000.fastq_bytes	33440119254	bytes	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-11000	group by study and compute fastq_bytes	Input/cohort accounting only
cohort.E-MTAB-14568.all_runs	33	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute all_runs	Input/cohort accounting only
cohort.E-MTAB-14568.primary_hgsoc_tumour	27	OCMs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute primary_hgsoc_tumour	Input/cohort accounting only
cohort.E-MTAB-14568.primary_patients_within_study	23	patients	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute primary_patients_within_study	Input/cohort accounting only
cohort.E-MTAB-14568.stroma_reference	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute stroma_reference	Input/cohort accounting only
cohort.E-MTAB-14568.cell_line_control	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute cell_line_control	Input/cohort accounting only
cohort.E-MTAB-14568.tumour_non_hgsoc_or_ambiguous	6	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute tumour_non_hgsoc_or_ambiguous	Input/cohort accounting only
cohort.E-MTAB-14568.tumour_not_in_tighe_screen	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute tumour_not_in_tighe_screen	Input/cohort accounting only
cohort.E-MTAB-14568.tumour_nonrepresentative_duplicate	0	runs	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute tumour_nonrepresentative_duplicate	Input/cohort accounting only
cohort.E-MTAB-14568.fastq_objects	66	files	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute fastq_objects	Input/cohort accounting only
cohort.E-MTAB-14568.fastq_bytes	83162442959	bytes	deterministic derivation	data/processed/metadata/ocm_master_manifest.tsv	study_accession=E-MTAB-14568	group by study and compute fastq_bytes	Input/cohort accounting only
rna_aggregation.E-MTAB-7223.run_count	36	runs	scientific receipt	data/processed/rna/E-MTAB-7223/aggregation/aggregation_receipt.json	/run_count; sha256=0923b2782c2635723e9ddb733584d5598127a93bf67e41d755b09130b4c8cbf9	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-7223.gene_count	60609	genes	scientific receipt	data/processed/rna/E-MTAB-7223/aggregation/aggregation_receipt.json	/gene_count; sha256=0923b2782c2635723e9ddb733584d5598127a93bf67e41d755b09130b4c8cbf9	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-7223.transcript_count	227462	transcripts	scientific receipt	data/processed/rna/E-MTAB-7223/aggregation/aggregation_receipt.json	/transcript_count; sha256=0923b2782c2635723e9ddb733584d5598127a93bf67e41d755b09130b4c8cbf9	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-10801.run_count	36	runs	scientific receipt	data/processed/rna/E-MTAB-10801/aggregation/aggregation_receipt.json	/run_count; sha256=45c48d734920120bd457f145734111f20e4a672972216f6f914221f49f43dafb	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-10801.gene_count	60609	genes	scientific receipt	data/processed/rna/E-MTAB-10801/aggregation/aggregation_receipt.json	/gene_count; sha256=45c48d734920120bd457f145734111f20e4a672972216f6f914221f49f43dafb	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-10801.transcript_count	227462	transcripts	scientific receipt	data/processed/rna/E-MTAB-10801/aggregation/aggregation_receipt.json	/transcript_count; sha256=45c48d734920120bd457f145734111f20e4a672972216f6f914221f49f43dafb	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-11000.run_count	12	runs	scientific receipt	data/processed/rna/E-MTAB-11000/aggregation/aggregation_receipt.json	/run_count; sha256=275595de8f5451615c12191b7868dc9af921eb2ac986ab942f4511ff3688602b	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-11000.gene_count	60609	genes	scientific receipt	data/processed/rna/E-MTAB-11000/aggregation/aggregation_receipt.json	/gene_count; sha256=275595de8f5451615c12191b7868dc9af921eb2ac986ab942f4511ff3688602b	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-11000.transcript_count	227462	transcripts	scientific receipt	data/processed/rna/E-MTAB-11000/aggregation/aggregation_receipt.json	/transcript_count; sha256=275595de8f5451615c12191b7868dc9af921eb2ac986ab942f4511ff3688602b	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-14568.run_count	33	runs	scientific receipt	data/processed/rna/E-MTAB-14568/aggregation/aggregation_receipt.json	/run_count; sha256=3edf9b50191e0a5fa1832b5b4d423dd7703a0b71e491c92c2decff79b8c18dc6	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-14568.gene_count	60609	genes	scientific receipt	data/processed/rna/E-MTAB-14568/aggregation/aggregation_receipt.json	/gene_count; sha256=3edf9b50191e0a5fa1832b5b4d423dd7703a0b71e491c92c2decff79b8c18dc6	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
rna_aggregation.E-MTAB-14568.transcript_count	227462	transcripts	scientific receipt	data/processed/rna/E-MTAB-14568/aggregation/aggregation_receipt.json	/transcript_count; sha256=3edf9b50191e0a5fa1832b5b4d423dd7703a0b71e491c92c2decff79b8c18dc6	direct JSON field	Aggregation completion and dimensions only; this snapshot does not replace per-run quantification receipts.
nmf.pooled.rank2.sample_count	60	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=sample_count; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank2.gene_count	6000	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=gene_count; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank2.nmf_runs	100	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=nmf_runs; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank2.cophenetic_correlation	0.972012231796	metric	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=cophenetic_correlation; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank2.average_silhouette	0.898941483184	metric	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=average_silhouette; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank2.converged_runs	100	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=2; column=converged_runs; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.sample_count	60	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=sample_count; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.gene_count	6000	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=gene_count; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.nmf_runs	100	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=nmf_runs; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.cophenetic_correlation	0.939411650185	metric	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=cophenetic_correlation; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.average_silhouette	0.769797886657	metric	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=average_silhouette; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.pooled.rank3.converged_runs	100	count	model receipt	data/processed/rna/pooled_primary60/nmf/rank_summary.tsv	rank=3; column=converged_runs; sha256=8025bcb254d12ee9a5547cba0313acd2f30f1a3c10f51af0849a5e5196b764aa	direct TSV field	Technical decomposition stability; rank labels are not clinical subtypes.
nmf.E-MTAB-7223.sample_count	9	count	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-7223/sample_count; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-7223.adjusted_rand_index	0.723076923077	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-7223/adjusted_rand_index; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-7223.normalized_mutual_information	0.8	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-7223/normalized_mutual_information; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-7223.mapped_assignment_agreement	0.888888888889	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-7223/mapped_assignment_agreement; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-7223.mean_matched_loading_spearman	0.82527084612	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-7223/mean_matched_loading_spearman; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-10801.sample_count	13	count	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-10801/sample_count; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-10801.adjusted_rand_index	0.529411764706	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-10801/adjusted_rand_index; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-10801.normalized_mutual_information	0.635185112383	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-10801/normalized_mutual_information; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-10801.mapped_assignment_agreement	0.846153846154	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-10801/mapped_assignment_agreement; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-10801.mean_matched_loading_spearman	0.843150150706	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-10801/mean_matched_loading_spearman; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-11000.sample_count	11	count	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-11000/sample_count; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-11000.adjusted_rand_index	0.377358490566	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-11000/adjusted_rand_index; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-11000.normalized_mutual_information	0.549863187987	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-11000/normalized_mutual_information; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-11000.mapped_assignment_agreement	0.727272727273	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-11000/mapped_assignment_agreement; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-11000.mean_matched_loading_spearman	0.804862818225	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-11000/mean_matched_loading_spearman; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-14568.sample_count	27	count	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-14568/sample_count; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-14568.adjusted_rand_index	0.568609461822	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-14568/adjusted_rand_index; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-14568.normalized_mutual_information	0.639119497579	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-14568/normalized_mutual_information; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-14568.mapped_assignment_agreement	0.740740740741	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-14568/mapped_assignment_agreement; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.E-MTAB-14568.mean_matched_loading_spearman	0.797630416332	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/cohort_metrics/E-MTAB-14568/mean_matched_loading_spearman; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.state_by_study.chi_square	8.454702444472266	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/pooled_state_by_study/chi_square; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.state_by_study.p_value	0.2066463281272105	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/pooled_state_by_study/p_value; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.state_by_study.cramers_v	0.2654352156439223	metric	model receipt	data/processed/rna/nmf_pooled_vs_stratified/comparison_receipt.json	/pooled_state_by_study/cramers_v; sha256=346542cd20a2f29f497f6eca0f577a841fd99b0b462af1aedecd8d7f546466c4	direct JSON field	Same-data pooled-versus-local concordance, not independent cohort replication.
nmf.patient_balanced.common_run_count	52	count	model receipt	data/processed/rna/pooled_patient_balanced52/patient_balanced_vs_pooled_rank3_v2.json	/common_run_count; sha256=af0ae10e37d2546c6b472ace42e8e0bed1ec8b4de96339d9dc0b4156bd8e87bc	direct JSON field	One deterministic response-blind patient-weighting sensitivity; not a distribution over valid selections.
nmf.patient_balanced.adjusted_rand_index	0.8420647887542755	metric	model receipt	data/processed/rna/pooled_patient_balanced52/patient_balanced_vs_pooled_rank3_v2.json	/adjusted_rand_index; sha256=af0ae10e37d2546c6b472ace42e8e0bed1ec8b4de96339d9dc0b4156bd8e87bc	direct JSON field	One deterministic response-blind patient-weighting sensitivity; not a distribution over valid selections.
nmf.patient_balanced.normalized_mutual_information	0.8248908171552536	metric	model receipt	data/processed/rna/pooled_patient_balanced52/patient_balanced_vs_pooled_rank3_v2.json	/normalized_mutual_information; sha256=af0ae10e37d2546c6b472ace42e8e0bed1ec8b4de96339d9dc0b4156bd8e87bc	direct JSON field	One deterministic response-blind patient-weighting sensitivity; not a distribution over valid selections.
nmf.patient_balanced.mapped_assignment_agreement	0.9423076923076923	metric	model receipt	data/processed/rna/pooled_patient_balanced52/patient_balanced_vs_pooled_rank3_v2.json	/mapped_assignment_agreement; sha256=af0ae10e37d2546c6b472ace42e8e0bed1ec8b4de96339d9dc0b4156bd8e87bc	direct JSON field	One deterministic response-blind patient-weighting sensitivity; not a distribution over valid selections.
regulatory.grid.fit_count	45	fits	model receipt	data/processed/corneto/regulatory_multisample/v1/pooled_vs_cohort_summary.json	/fit_count; sha256=defaf6a90c9cfdf0f378f691b9d0d533489880afc0217494534d826b991d2670	five modes times nine lambdas, receipt-validated	Method stability only; lambda must not be selected using held-out phenotype.
regulatory.grid.lambda_count	9	values	configured and receipt-validated	data/processed/corneto/regulatory_multisample/v1/pooled_vs_cohort_summary.json	/lambda_values; sha256=defaf6a90c9cfdf0f378f691b9d0d533489880afc0217494534d826b991d2670	length of frozen lambda array	Method stability only; lambda must not be selected using held-out phenotype.
regulatory.patient_balanced.lambda_nominal	0.001	metric	model receipt	data/processed/corneto/regulatory_multisample/patient_balanced52/pooled_vs_patient_balanced.json	/lambda_nominal; sha256=1831a86633bd0a8f2d00cbdd2eeda1ae33bd6b617ede47b898ca66f17367099e	direct JSON field	One patient-weighting sensitivity only; no phenotype or causal interpretation.
